"Run"	"Sample Characteristic[infect]"	"Sample Characteristic Ontology Term[infect]"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[time]"	"Sample Characteristic Ontology Term[time]"	"Factor Value[infect]"	"Factor Value Ontology Term[infect]"	"Factor Value[organism part]"	"Factor Value Ontology Term[organism part]"	"Factor Value[time]"	"Factor Value Ontology Term[time]"
"ERR597442"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"	
"ERR597443"	"H5N2"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"		"H5N2"		"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"	
"ERR597444"	"H5N2"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"		"H5N2"		"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"	
"ERR597445"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"	
"ERR597446"	"H5N2"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"		"H5N2"		"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"	
"ERR597447"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"	
"ERR597448"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"	
"ERR597449"	"H5N1"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"		"H5N1"		"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"	
"ERR597450"	"H5N2"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"		"H5N2"		"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"	
"ERR597451"	"H5N1"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"		"H5N1"		"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"	
"ERR597452"	"H5N1"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"		"H5N1"		"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"	
"ERR597453"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"1 day"	
"ERR597454"	"H5N2"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"		"H5N2"		"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"	
"ERR597455"	"H5N1"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"		"H5N1"		"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"	
"ERR597456"	"H5N2"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"		"H5N2"		"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"	
"ERR597457"	"H5N1"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"		"H5N1"		"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"	
"ERR597458"	"H5N1"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"		"H5N1"		"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"	
"ERR597459"	"H5N2"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"		"H5N2"		"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"3 day"	
"ERR597460"	"H5N2"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"		"H5N2"		"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"	
"ERR597461"	"H5N2"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"		"H5N2"		"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"	
"ERR597462"	"H5N1"		"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"		"H5N1"		"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"	
"ERR597463"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"ileum"	"http://purl.obolibrary.org/obo/UBERON_0002116"	"1 day"	
"ERR597464"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"Anas platyrhynchos"	"http://purl.obolibrary.org/obo/NCBITaxon_8839"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"lung"	"http://purl.obolibrary.org/obo/UBERON_0002048"	"3 day"	
